Date,,Opponent,Result,PassComp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,TotalOffPlays,TotalOffYds,TotalOffAvg,1DPass,1DRush,1DPen,1DTot,Penalties,PenaltyYds,Fum,Int,TotalTurnovers
40061,N,Virginia Tech,W (34-24),15,30,50,230,1,49,268,5.5,2,79,498,6.3,11,9,2,22,10,83,1,1,2
40068,,Florida International,W (40-14),18,24,75,241,1,42,275,6.5,4,66,516,7.8,12,14,0,26,7,65,0,0,0
40075,,North Texas,W (53-7),22,28,78.6,263,2,45,260,5.8,5,73,523,7.2,12,15,1,28,2,15,1,0,1
40082,,Arkansas,W (35-7),17,24,70.8,291,3,41,134,3.3,2,65,425,6.5,9,6,3,18,7,60,0,0,0
40089,@,Kentucky,W (38-20),15,26,57.7,148,2,42,204,4.9,2,68,352,5.2,7,9,2,18,6,47,0,0,0
40096,@,Mississippi,W (22-3),16,35,45.7,154,0,41,200,4.9,1,76,354,4.7,8,9,0,17,4,30,1,0,1
40103,,South Carolina,W (20-6),10,20,50,92,0,38,264,6.9,1,58,356,6.1,4,12,1,17,10,113,2,2,4
40110,,Tennessee,W (12-10),18,29,62.1,120,0,30,136,4.5,0,59,256,4.3,6,8,2,16,1,10,1,0,1
40124,,Louisiana State,W (24-15),19,34,55.9,276,2,38,176,4.6,0,72,452,6.3,13,10,1,24,4,20,0,1,1
40131,@,Mississippi State,W (31-3),13,18,72.2,192,2,40,252,6.3,2,58,444,7.7,5,12,0,17,3,25,0,0,0
40138,,Chattanooga,W (45-0),10,16,62.5,109,1,56,313,5.6,4,72,422,5.9,4,22,0,26,5,61,0,0,0
40144,@,Auburn,W (26-21),21,32,65.6,218,2,35,73,2.1,1,67,291,4.3,13,3,1,17,4,26,0,0,0
40152,N,Florida,W (32-13),12,18,66.7,239,1,53,251,4.7,3,71,490,6.9,10,14,2,26,1,5,0,0,0
40185,N,Texas*,W (37-21),6,12,50,58,0,51,205,4,4,63,263,4.2,3,10,3,16,5,38,1,1,2
