Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
1,Alabama,14,1069,2431,837,3500,4.18,250
2,Florida State,14,1287,2266,922,3553,3.85,253.8
3,BYU,13,1130,2329,790,3459,4.38,266.1
4,Michigan State,13,1282,2285,816,3567,4.37,274.4
5,Florida,13,1229,2498,857,3727,4.35,286.7
6,Bowling Green,13,1385,2471,824,3856,4.68,296.6
7,Notre Dame,13,1374,2597,830,3971,4.78,305.5
8,LSU,13,1321,2678,897,3999,4.46,307.6
9,Connecticut,12,1175,2544,811,3719,4.59,309.9
10,Rutgers,13,1263,2788,882,4051,4.59,311.6
11,South Carolina,13,1569,2533,883,4102,4.65,315.5
12,Boise State,13,1900,2203,888,4103,4.62,315.6
13,Michigan,13,1957,2203,844,4160,4.93,320
14,Utah State,13,1479,2708,968,4187,4.33,322.1
15,Wisconsin,14,1805,2711,936,4516,4.82,322.6
16,TCU,13,1370,2841,856,4211,4.92,323.9
17,Pittsburgh,13,1773,2524,875,4297,4.91,330.5
18,Virginia Tech,13,1743,2588,906,4331,4.78,333.2
19,Vanderbilt,13,1848,2493,914,4341,4.75,333.9
20,Stanford,14,1358,3349,996,4707,4.73,336.2
21,Maryland,12,1552,2490,813,4042,4.97,336.8
22,Fresno State,13,2227,2173,930,4400,4.73,338.5
23,Louisville,13,1924,2500,831,4424,5.32,340.3
24,San Jose State,13,1589,2892,881,4481,5.09,344.7
25,Western Kentucky,13,1779,2727,850,4506,5.3,346.6
26,Tulsa,14,1674,3195,1001,4869,4.86,347.8
27,Arizona State,13,2377,2183,953,4560,4.78,350.8
28,Virginia,12,1739,2501,831,4240,5.1,353.3
29,Penn State,12,1541,2700,865,4241,4.9,353.4
30,Oregon State,13,1683,2919,893,4602,5.15,354
31,Washington,13,2081,2565,865,4646,5.37,357.4
32,Georgia,14,2550,2459,967,5009,5.18,357.8
33,Minnesota,13,2236,2426,882,4662,5.29,358.6
34,Ohio State,12,1393,2922,849,4315,5.08,359.6
35,Nebraska,14,2695,2354,963,5049,5.24,360.6
36,Utah,12,1538,2823,816,4361,5.34,363.4
37,Buffalo,12,1865,2499,842,4364,5.18,363.7
38,Texas Tech,13,2282,2493,888,4775,5.38,367.3
39,San Diego State,13,1735,3062,929,4797,5.16,369
40,Northern Illinois,14,2050,3121,1096,5171,4.72,369.4
41,Hawai'i,12,2281,2193,830,4474,5.39,372.8
42,UCF,14,2182,3048,1024,5230,5.11,373.6
43,Georgia Tech,14,2019,3217,920,5236,5.69,374
44,Oregon,13,1884,2979,985,4863,4.94,374.1
45,Mississippi,13,1681,3205,910,4886,5.37,375.8
46,Kansas State,13,1654,3235,905,4889,5.4,376.1
47,Syracuse,13,1866,3040,866,4906,5.67,377.4
48,Northwestern,13,1659,3257,937,4916,5.25,378.2
49,Iowa,12,1945,2634,826,4579,5.54,381.6
50,South Alabama,13,2138,2840,881,4978,5.65,382.9
51,Memphis,12,1675,2928,859,4603,5.36,383.6
52,Arkansas State,13,2033,2955,930,4988,5.36,383.7
53,Mississippi State,13,2153,2883,918,5036,5.49,387.4
54,Illinois,12,2327,2324,802,4651,5.8,387.6
55,Cincinnati,13,1763,3282,957,5045,5.27,388.1
56,Ohio,13,2077,2977,941,5054,5.37,388.8
57,North Carolina,12,1712,2963,898,4675,5.21,389.6
58,Texas A&M,13,1814,3259,972,5073,5.22,390.2
59,Missouri,12,1791,2897,852,4688,5.5,390.7
60,Kentucky,12,1940,2757,848,4697,5.54,391.4
61,USC,13,2171,2951,967,5122,5.3,394
62,Western Michigan,12,1862,2889,849,4751,5.6,395.9
63,SMU,13,1533,3616,958,5149,5.37,396.1
64,Clemson,13,2030,3124,913,5154,5.65,396.5
65,Oklahoma,13,2509,2684,905,5193,5.74,399.5
66,South Florida,12,1799,3023,867,4822,5.56,401.8
67,Florida International,12,1690,3145,865,4835,5.59,402.9
68,Texas,13,2488,2756,889,5244,5.9,403.4
69,North Carolina State,13,2012,3249,949,5261,5.54,404.7
70,Colorado State,12,2440,2427,884,4867,5.51,405.6
71,Florida Atlantic,12,2425,2443,790,4868,6.16,405.7
72,Navy,13,2516,2799,879,5315,6.05,408.8
73,Air Force,13,2584,2738,918,5322,5.8,409.4
74,Arkansas,12,1489,3430,859,4919,5.73,409.9
75,Kent State,14,1936,3808,1028,5744,5.59,410.3
76,North Texas,12,1959,3018,814,4977,6.11,414.8
77,Purdue,13,2365,3041,947,5406,5.71,415.8
78,UCLA,14,2315,3508,1040,5823,5.6,415.9
79,UTSA,10,1254,2927,696,4181,6.01,418.1
80,Louisiana-Monroe,13,1849,3595,924,5444,5.89,418.8
81,Auburn,12,2371,2675,842,5046,5.99,420.5
82,Oklahoma State,13,1842,3640,1034,5482,5.3,421.7
83,Washington State,12,1959,3146,898,5105,5.68,425.4
84,Rice,13,2479,3058,884,5537,6.26,425.9
85,Southern Mississippi,12,2490,2628,838,5118,6.11,426.5
86,UAB,12,2187,2935,833,5122,6.15,426.8
87,Louisiana-Lafayette,13,1870,3685,947,5555,5.87,427.3
87,Army,12,2788,2340,763,5128,6.72,427.3
89,East Carolina,13,2015,3584,942,5599,5.94,430.7
90,Central Michigan,13,2492,3129,931,5621,6.04,432.4
91,Wake Forest,12,1993,3201,900,5194,5.77,432.8
92,Temple,11,2193,2611,765,4804,6.28,436.7
93,UTEP,12,2332,2950,865,5282,6.11,440.2
94,Middle Tennessee,12,2259,3031,869,5290,6.09,440.8
95,California,12,2032,3263,935,5295,5.66,441.3
96,Iowa State,13,2299,3449,1006,5748,5.71,442.2
97,Nevada,13,2754,2998,968,5752,5.94,442.5
98,Troy,12,2222,3101,841,5323,6.33,443.6
99,New Mexico,13,2274,3500,845,5774,6.83,444.2
100,UNLV,13,2692,3096,960,5788,6.03,445.2
101,Akron,12,2533,2867,897,5400,6.02,450
102,Boston College,12,2559,2908,979,5467,5.58,455.6
103,Marshall,12,2439,3042,952,5481,5.76,456.8
104,Massachusetts,12,2697,2839,862,5536,6.42,461.3
105,Ball State,13,2692,3319,949,6011,6.33,462.4
106,Indiana,12,2776,2786,910,5562,6.11,463.5
107,Miami (Ohio),12,2893,2719,885,5612,6.34,467.7
108,Wyoming,12,2788,2840,903,5628,6.23,469
109,Duke,13,2625,3474,913,6099,6.68,469.2
110,Tennessee,12,2266,3390,923,5656,6.13,471.3
111,Idaho,12,2364,3302,862,5666,6.57,472.2
