Team,FPI,sixwinspct,windivpct,winconfpct,playoffpct,makencpct,winnattypct,projwl,winnloss
Georgia,29.9,100,100,65.7,99.2,75.5,52.9,12.7-0.3,12-0
Ohio State,24.4,100,0,0,0.1,0.1,0,10.0-2.0,10-2
Alabama,24.4,100,100,34.3,58.9,35.2,16.6,11.3-1.7,11-1
Michigan,19.6,100,100,76.7,85.6,41.4,14.6,11.8-1.2,11-1
Notre Dame,17.1,100,0,0,46,14.4,5.2,11.0-1.0,11-1
Oklahoma,16.8,100,0,0,0,0,0,10.0-2.0,10-2
Oklahoma State,16,100,100,63.6,38.2,12.8,4,11.6-1.4,11-1
Cincinnati,15.6,100,100,82.6,72,20.6,6.8,12.8-0.2,12-0
Iowa State,15.4,100,0,0,0,0,0,7.0-5.0,7-5
Clemson,15.2,100,0,0,0,0,0,9.0-3.0,9-3
Pittsburgh,14.4,100,100,61.7,0,0,0,10.6-2.4,10-2
Utah,13.6,100,100,61,0,0,0,9.6-3.4,9-3
Wisconsin,13.5,100,0,0,0,0,0,8.0-4.0,8-4
Penn State,13,100,0,0,0,0,0,7.0-5.0,7-5
Texas A&M,12.6,100,0,0,0,0,0,8.0-4.0,8-4
NC State,12.4,100,0,0,0,0,0,9.0-3.0,9-3
Ole Miss,12,100,0,0,0,0,0,10.0-2.0,10-2
Baylor,11.2,100,100,36.4,0,0,0,10.4-2.6,10-2
Auburn,10.5,100,0,0,0,0,0,6.0-6.0,6-6
Oregon,10.4,100,100,39,0,0,0,10.4-2.6,10-2
Wake Forest,10.2,100,100,38.3,0,0,0,10.4-2.6,10-2
Miami,10,100,0,0,0,0,0,7.0-5.0,7-5
Iowa,9.9,100,100,23.3,0,0,0,10.2-2.8,10-2
Michigan State,9.8,100,0,0,0,0,0,10.0-2.0,10-2
Appalachian State,9.8,100,100,58.5,0,0,0,10.6-2.4,10-2
Tennessee,9.6,100,0,0,0,0,0,7.0-5.0,7-5
Purdue,9.2,100,0,0,0,0,0,8.0-4.0,8-4
Mississippi State,9.2,100,0,0,0,0,0,7.0-5.0,7-5
Arkansas,9,100,0,0,0,0,0,8.0-4.0,8-4
Texas,8.9,0,0,0,0,0,0,5.0-7.0,5-7
Kentucky,8.9,100,0,0,0,0,0,9.0-3.0,9-3
Florida,8.7,100,0,0,0,0,0,6.0-6.0,6-6
UCLA,8.7,100,0,0,0,0,0,8.0-4.0,8-4
Minnesota,8.6,100,0,0,0,0,0,8.0-4.0,8-4
Nebraska,8.4,0,0,0,0,0,0,3.0-9.0,3-9
North Carolina,7.6,100,0,0,0,0,0,6.0-6.0,6-6
LSU,7.2,100,0,0,0,0,0,6.0-6.0,6-6
Arizona State,6.7,100,0,0,0,0,0,8.0-4.0,8-4
