Date,,Opponent,Result,PassComp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,TotalOffPlays,TotalOffYds,TotalOffAvg,1DPass,1DRush,1DPen,1DTot,Penalties,PenaltyYds,Fum,Int,TotalTurnovers
40789,,Kent State,W (48-7),21,37,56.8,299,1,35,183,5.2,5,72,482,6.7,14,10,0,24,2,10,1,4,5
40796,@,Penn State,W (27-11),19,31,61.3,163,1,41,196,4.8,2,72,359,5,9,10,0,19,3,35,0,0,0
40803,,North Texas,W (41-0),21,29,72.4,239,0,33,347,10.5,5,62,586,9.5,14,9,2,25,2,19,2,0,2
40810,,Arkansas,W (38-14),15,20,75,200,2,39,197,5.1,1,59,397,6.7,9,7,0,16,5,55,0,0,0
40817,@,Florida,W (38-10),12,25,48,140,0,43,226,5.3,4,68,366,5.4,6,14,1,21,3,29,0,0,0
40824,,Vanderbilt,W (34-0),26,33,78.8,266,4,43,153,3.6,1,76,419,5.5,14,9,1,24,2,15,0,0,0
40831,@,Mississippi,W (52-7),20,25,80,226,1,42,389,9.3,6,67,615,9.2,10,17,0,27,5,35,0,0,0
40838,,Tennessee,W (37-6),18,28,64.3,294,1,38,143,3.8,3,66,437,6.6,13,6,0,19,5,38,0,1,1
40852,,Louisiana State,L (6-9),16,29,55.2,199,0,31,96,3.1,0,60,295,4.9,7,8,2,17,6,73,0,2,2
40859,@,Mississippi State,W (24-7),14,24,58.3,163,0,44,223,5.1,3,68,386,5.7,7,12,1,20,6,40,0,1,1
40866,,Georgia Southern,W (45-21),14,19,73.7,190,3,49,272,5.6,2,68,462,6.8,11,15,2,28,6,35,0,0,0
40873,@,Auburn,W (42-14),18,23,78.3,184,3,35,213,6.1,1,58,397,6.8,9,8,2,19,3,20,1,0,1
40917,N,Louisiana State*,W (21-0),23,34,67.6,234,0,35,150,4.3,1,69,384,5.6,12,9,0,21,1,5,0,0,0
