Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
1,Army,12,1375,1929,661,3304,5,275.3
2,Marshall,10,955,1839,635,2794,4.4,279.4
3,San Diego State,8,786,1482,520,2268,4.36,283.5
4,West Virginia,10,1318,1596,626,2914,4.65,291.4
5,Wisconsin,7,673,1426,419,2099,5.01,299.9
6,Air Force,6,819,1001,360,1820,5.06,303.3
7,UAB,9,1241,1559,597,2800,4.69,311.1
8,Iowa,8,861,1649,578,2510,4.34,313.8
9,Texas A&M,10,920,2253,593,3173,5.35,317.3
10,Liberty,11,1461,2034,667,3495,5.24,317.7
11,BYU,12,1446,2370,793,3816,4.81,318
12,Georgia,10,723,2487,661,3210,4.86,321
13,Cincinnati,10,1111,2135,710,3246,4.57,324.6
14,Georgia Southern,13,1458,2776,828,4234,5.11,325.7
15,Clemson,12,1352,2570,781,3922,5.02,326.8
16,Wyoming,6,752,1216,399,1968,4.93,328
17,Appalachian State,12,1811,2135,798,3946,4.94,328.8
17,Penn State,9,1172,1787,585,2959,5.06,328.8
19,Tulsa,9,1291,1706,638,2997,4.7,333
20,Pittsburgh,11,1029,2706,765,3735,4.88,339.5
21,Iowa State,12,1237,2848,761,4085,5.37,340.4
22,Northwestern,9,1313,1758,632,3071,4.86,341.2
23,Rice,5,704,1004,300,1708,5.69,341.6
24,Florida Atlantic,9,1391,1689,601,3080,5.12,342.2
25,Notre Dame,12,1356,2767,742,4123,5.56,343.6
26,San Jose State,8,962,1807,559,2769,4.95,346.1
27,Washington,4,645,740,259,1385,5.35,346.3
28,Western Kentucky,12,2055,2128,828,4183,5.05,348.6
29,Oklahoma,11,1156,2701,743,3857,5.19,350.6
30,TCU,10,1275,2234,659,3509,5.32,350.9
31,Coastal Carolina,12,1772,2451,770,4223,5.48,351.9
32,Alabama,13,1470,3109,909,4579,5.04,352.2
33,Louisiana-Lafayette,11,2032,1877,795,3909,4.92,355.4
34,Colorado State,4,434,1001,298,1435,4.82,358.8
35,Buffalo,7,1102,1421,483,2523,5.22,360.4
36,Toledo,6,775,1398,406,2173,5.35,362.2
37,Utah,5,539,1286,332,1825,5.5,365
38,California,4,677,791,258,1468,5.69,367
39,Louisville,11,1979,2081,703,4060,5.78,369.1
40,USC,6,920,1298,404,2218,5.49,369.7
41,Boise State,7,1146,1467,497,2613,5.26,373.3
42,Nevada,9,1243,2156,630,3399,5.4,377.7
43,Indiana,8,1097,1928,548,3025,5.52,378.1
44,Oklahoma State,11,1761,2408,784,4169,5.32,379
45,Kentucky,11,1717,2471,764,4188,5.48,380.7
46,UTEP,8,1123,1927,499,3050,6.11,381.3
47,UTSA,12,1945,2655,818,4600,5.62,383.3
48,Baylor,9,1624,1827,625,3451,5.52,383.4
49,Navy,10,2047,1808,644,3855,5.99,385.5
50,Nebraska,8,1356,1736,566,3092,5.46,386.5
51,Ohio,3,581,586,213,1167,5.48,389
52,Mississippi State,11,1390,2897,780,4287,5.5,389.7
53,Miami (Ohio),3,378,803,195,1181,6.06,393.7
54,Michigan State,7,1101,1676,527,2777,5.27,396.7
55,Houston,8,1340,1848,552,3188,5.78,398.5
56,Purdue,6,869,1525,445,2394,5.38,399
57,Western Michigan,6,944,1454,428,2398,5.6,399.7
58,North Carolina,12,1851,2960,829,4811,5.8,400.9
59,Ohio State,8,781,2432,549,3213,5.85,401.6
60,Southern Mississippi,10,1809,2208,697,4017,5.76,401.7
61,Troy,11,1833,2623,806,4456,5.53,405.1
62,Oregon,7,1187,1654,531,2841,5.35,405.9
63,Auburn,11,1797,2669,794,4466,5.62,406
64,Texas,10,1402,2664,779,4066,5.22,406.6
65,Tennessee,10,1416,2658,699,4074,5.83,407.4
66,Missouri,10,1622,2458,669,4080,6.1,408
67,Miami (Florida),11,1919,2573,803,4492,5.59,408.4
68,Hawai'i,9,1905,1774,645,3679,5.7,408.8
69,UCLA,7,950,1919,527,2869,5.44,409.9
70,Georgia State,10,1366,2737,731,4103,5.61,410.3
71,North Carolina State,12,2087,2893,909,4980,5.48,415
72,Minnesota,7,1450,1461,422,2911,6.9,415.9
73,Boston College,11,1885,2700,750,4585,6.11,416.8
74,Northern Illinois,6,1041,1472,379,2513,6.63,418.8
75,Charlotte,6,1284,1233,384,2517,6.55,419.5
76,Colorado,6,1087,1435,416,2522,6.06,420.3
77,Tulane,12,1720,3344,900,5064,5.63,422
78,SMU,10,1803,2419,748,4222,5.64,422.2
79,Florida International,5,1178,936,367,2114,5.76,422.8
80,Kent State,4,1048,648,261,1696,6.5,424
81,Louisiana Tech,10,1983,2290,699,4273,6.11,427.3
